Day,MaxF,MinF,Ppt(in),Rad Eq (MJ/m2)
1-Jan,39,14,0.005,7.7175
2-Jan,40,15,0.008,7.61
3-Jan,41,15,0.01,7.375
4-Jan,42,17,0.014,7.4325
5-Jan,42,16,0.006,7.485
6-Jan,40,15,0.025,7.83
7-Jan,41,14,0.005,8.45
8-Jan,44,16,0.009,7.88
9-Jan,44,17,0.004,8.2275
10-Jan,44,16,0.019,8.235
11-Jan,43,15,0.007,7.7325
12-Jan,42,14,0.005,8.535
13-Jan,43,15,0.005,9.015
14-Jan,45,16,0.001,8.425
15-Jan,42,15,0.009,8.3325
16-Jan,41,14,0.005,8.64
17-Jan,42,14,0.006,8.01
18-Jan,42,16,0.011,7.9825
19-Jan,44,17,0.005,8.595
20-Jan,41,16,0.012,8.4975
21-Jan,42,14,0.015,8.8125
22-Jan,44,16,0.004,8.935
23-Jan,43,16,0.002,9.86
24-Jan,41,16,0.021,9.1675
25-Jan,43,15,0.007,8.4325
26-Jan,43,16,0.026,8.535
27-Jan,44,15,0.022,9.1575
28-Jan,44,17,0.004,9.8675
29-Jan,43,17,0.009,9.5025
30-Jan,41,14,0.014,10.4975
31-Jan,42,14,0.004,9.695
1-Feb,43,14,0.005,9.985
2-Feb,45,16,0.009,10.31
3-Feb,42,17,0.052,10.1825
4-Feb,45,15,0.015,9.9875
5-Feb,46,18,0.003,10.31
6-Feb,46,18,0.009,10.8575
7-Feb,46,17,0.012,10.2775
8-Feb,44,16,0.017,10.485
9-Feb,44,16,0.001,11.6575
10-Feb,47,16,0.012,11.4225
11-Feb,49,18,0.013,11.0425
12-Feb,47,18,0.036,11.27
13-Feb,45,18,0.034,11.585
14-Feb,44,18,0.008,10.0175
15-Feb,45,18,0.009,11.5625
16-Feb,47,18,0.012,12.1
17-Feb,48,19,0.008,10.7425
18-Feb,48,21,0.011,12.26
19-Feb,46,20,0.022,12.2825
20-Feb,45,18,0.022,10.8375
21-Feb,48,20,0.018,12.02
22-Feb,51,21,0.024,12.17
23-Feb,49,21,0.021,12.03
24-Feb,48,21,0.019,13.7875
25-Feb,49,21,0.03,12.25
