Day,MaxF,MinF,Ppt(in),Rad Eq (MJ/m2)
1-Jan,41,21,0.006,8.79
2-Jan,42,20,0.022,8.8575
3-Jan,39,17,0.031,8.3275
4-Jan,39,18,0.026,8.5
5-Jan,40,19,0.014,8.155
6-Jan,40,17,0.016,8.685
7-Jan,41,18,0.007,8.9825
8-Jan,43,18,0.008,8.9825
9-Jan,41,18,0.017,9.45
10-Jan,40,18,0.02,8.735
11-Jan,42,18,0.004,9.14
12-Jan,43,19,0.012,9.5125
13-Jan,45,20,0.009,10.295
14-Jan,45,20,0.013,9.7725
15-Jan,44,19,0.008,9.48
16-Jan,42,18,0.02,9.61
17-Jan,43,19,0.017,9.48
18-Jan,42,19,0.021,8.8975
19-Jan,43,19,0.038,8.695
20-Jan,43,19,0.015,9.9475
21-Jan,43,19,0.003,9.3475
22-Jan,43,18,0.009,9.8375
23-Jan,44,19,0.007,10.6575
24-Jan,47,21,0.002,10.15
25-Jan,44,20,0.012,9.8275
26-Jan,42,20,0.023,10.2475
27-Jan,43,20,0.034,10.4125
28-Jan,44,20,0.031,10.6375
29-Jan,41,19,0.024,10.4375
30-Jan,43,19,0.031,10.865
31-Jan,45,21,0.034,10.36
1-Feb,44,21,0.02,10.635
2-Feb,42,19,0.009,10.83
3-Feb,44,21,0.024,11.5625
4-Feb,44,21,0.021,10.6425
5-Feb,44,22,0.008,11.5275
6-Feb,43,20,0.021,11.6625
7-Feb,45,19,0.012,11.6
8-Feb,44,21,0.036,11.1425
9-Feb,47,21,0.026,12.07
10-Feb,47,22,0.004,12.135
11-Feb,46,22,0.01,11.8475
12-Feb,47,22,0.024,12.295
13-Feb,48,24,0.018,12.3775
14-Feb,46,24,0.037,10.85
15-Feb,46,23,0.006,11.8875
16-Feb,48,23,0.006,13.24
17-Feb,52,25,0.012,12.745
18-Feb,51,26,0.017,12.95
19-Feb,51,26,0.017,14.205
20-Feb,52,26,0.032,12.7825
21-Feb,50,24,0.048,13.5975
22-Feb,52,26,0.013,13.4625
23-Feb,50,26,0.055,13.49
24-Feb,52,25,0.025,14.8575
25-Feb,51,26,0.015,14.7675
26-Feb,52,26,0.017,14.44
27-Feb,52,27,0.018,14.4125
28-Feb,51,27,0.016,14.135
1-Mar,53,26,0.037,14.1025
2-Mar,51,27,0.065,14.37
3-Mar,50,24,0.025,14.23
4-Mar,50,25,0.046,14.13
5-Mar,52,26,0.023,15.2925
6-Mar,55,26,0.036,15.135
7-Mar,52,27,0.032,15.655
8-Mar,54,26,0.023,15.3525
9-Mar,55,28,0.027,16.4475
10-Mar,57,31,0.071,15.56
11-Mar,55,31,0.015,15.5
12-Mar,56,29,0.04,15.23
13-Mar,57,29,0.011,16.27
14-Mar,56,29,0.033,17.04
15-Mar,53,29,0.045,16.66
16-Mar,56,30,0.094,15.9525
17-Mar,59,32,0.022,16.035
18-Mar,55,31,0.062,15.935
19-Mar,57,31,0.068,17.2775
20-Mar,57,31,0.032,17.6875
21-Mar,58,30,0.049,18.825
22-Mar,60,32,0.053,18.225
23-Mar,58,32,0.144,17.195
24-Mar,58,33,0.053,17.605
25-Mar,58,32,0.052,17.8475
26-Mar,61,34,0.024,19.205
27-Mar,62,35,0.067,17.8325
28-Mar,61,35,0.06,17.9475
29-Mar,57,35,0.05,16.8075
30-Mar,60,33,0.078,17.1025
31-Mar,63,35,0.093,19.7675
1-Apr,65,37,0.056,19.02
2-Apr,66,38,0.066,18.06
3-Apr,60,35,0.038,17.6625
4-Apr,62,34,0.046,19.6625
5-Apr,65,37,0.015,19.3
