Day,MaxF,MinF,Ppt(in),Rad Eq (MJ/m2)
1-Jan,41,14,0.016,9.281
2-Jan,41,16,0.015,9.14375
3-Jan,42,15,0.005,8.34525
4-Jan,39,12,0.02,8.31525
5-Jan,39,13,0.009,8.14
6-Jan,40,14,0.01,8.65
7-Jan,41,12,0.015,8.93375
8-Jan,41,14,0.004,9.16325
9-Jan,42,14,0.024,8.496
10-Jan,41,13,0.007,9.462
11-Jan,40,14,0.009,9.46175
12-Jan,42,14,0.005,9.52175
13-Jan,43,14,0.01,9.748
14-Jan,45,15,0.004,9.87925
15-Jan,44,16,0.012,9.37175
16-Jan,44,15,0.013,9.25625
17-Jan,42,16,0.016,8.913
18-Jan,43,15,0.009,8.75375
19-Jan,42,16,0.045,9.21975
20-Jan,42,16,0.018,10.35725
21-Jan,44,15,0.02,9.885
22-Jan,44,15,0.002,10.09275
23-Jan,43,14,0.011,10.733
24-Jan,46,15,0.001,9.6405
25-Jan,47,17,0.003,10.34225
26-Jan,44,16,0.028,10.5235
27-Jan,42,17,0.009,10.943
28-Jan,43,16,0.034,11.0035
29-Jan,43,16,0.011,9.94825
30-Jan,42,16,0.018,10.77375
31-Jan,44,17,0.013,11.07325
1-Feb,44,17,0.026,11.18725
2-Feb,44,15,0.008,11.02625
3-Feb,42,15,0.008,10.9565
4-Feb,44,17,0.036,10.579
5-Feb,43,16,0.009,11.4305
6-Feb,43,17,0.02,11.444
7-Feb,43,16,0.01,11.9255
8-Feb,44,16,0.007,11.24775
9-Feb,43,17,0.031,12.59075
10-Feb,46,17,0.02,12.28225
11-Feb,46,17,0.021,12.139
12-Feb,45,17,0.016,12.29225
13-Feb,48,19,0.026,12.2605
14-Feb,49,20,0.022,11.60675
15-Feb,48,20,0.03,12.13025
16-Feb,45,18,0.012,12.9965
17-Feb,48,19,0.006,12.60525
18-Feb,50,22,0.01,13.4005
19-Feb,50,22,0.014,13.68575
20-Feb,52,23,0.014,12.994
21-Feb,51,23,0.031,15.85525
22-Feb,51,22,0.013,13.8845
23-Feb,50,21,0.019,14.19175
24-Feb,48,21,0.029,14.73375
25-Feb,52,22,0.006,14.1595
26-Feb,51,22,0.003,13.55825
27-Feb,51,22,0.027,14.26925
28-Feb,51,22,0.027,15.158
1-Mar,50,23,0.039,14.73925
2-Mar,53,23,0.057,14.152
3-Mar,50,22,0.036,13.882
4-Mar,49,22,0.022,14.57375
5-Mar,48,22,0.043,16.15825
6-Mar,51,23,0.019,15.4185
7-Mar,54,24,0.019,15.761
8-Mar,51,24,0.042,15.19775
9-Mar,54,23,0.012,15.31225
10-Mar,55,26,0.042,15.87175
11-Mar,57,28,0.051,15.342
12-Mar,55,28,0.015,15.61525
13-Mar,57,27,0.023,17.53475
14-Mar,57,26,0.008,17.71875
15-Mar,56,27,0.037,15.7465
16-Mar,54,27,0.044,15.75625
17-Mar,55,28,0.042,16.2755
18-Mar,57,29,0.034,16.61725
19-Mar,54,28,0.09,16.32075
20-Mar,58,28,0.031,17.3155
21-Mar,57,27,0.037,19.4395
22-Mar,58,29,0.025,18.95875
23-Mar,59,30,0.057,16.9235
24-Mar,57,30,0.122,18.5785
25-Mar,56,30,0.047,18.3055
26-Mar,58,30,0.015,18.66475
27-Mar,62,33,0.02,16.85225
28-Mar,62,33,0.07,17.58125
29-Mar,60,32,0.055,17.316
30-Mar,57,31,0.051,18.72825
31-Mar,59,32,0.078,20.3445
1-Apr,63,33,0.062,18.80425
2-Apr,64,35,0.052,17.89825
3-Apr,65,34,0.048,18.0235
4-Apr,59,33,0.021,19.56025
5-Apr,61,32,0.062,20.51975
6-Apr,64,34,0.017,21.03325
7-Apr,66,36,0.019,20.39775
8-Apr,66,35,0.039,20.81475
9-Apr,63,34,0.036,18.212
10-Apr,64,36,0.047,19.4565
11-Apr,66,37,0.039,20.184
12-Apr,64,36,0.054,20.627
13-Apr,64,36,0.059,19.373
14-Apr,66,36,0.061,21.84825
15-Apr,69,38,0.009,22.16425
16-Apr,69,39,0.077,22.00925
17-Apr,71,39,0.03,20.898
18-Apr,69,40,0.059,21.19725
19-Apr,71,41,0.033,22.46025
20-Apr,70,40,0.123,21.285
21-Apr,68,39,0.031,20.9345
22-Apr,70,41,0.065,22.528
23-Apr,70,41,0.046,22.301
24-Apr,71,41,0.034,21.8725
25-Apr,70,41,0.058,20.84575
26-Apr,69,41,0.048,21.5165
27-Apr,69,41,0.043,21.15375
28-Apr,69,39,0.044,21.845
29-Apr,69,41,0.082,21.97275
30-Apr,69,42,0.078,20.00575
1-May,68,42,0.131,20.49275
2-May,69,43,0.091,19.4115
3-May,70,44,0.069,21.47275
4-May,71,44,0.081,22.33025
5-May,73,45,0.07,23.25675
6-May,74,45,0.079,23.02325
7-May,73,47,0.058,23.45425
8-May,76,47,0.142,22.8205
9-May,75,46,0.075,24.0945
10-May,74,47,0.069,23.69675
11-May,76,48,0.062,22.7115
12-May,76,48,0.074,24.0075
13-May,76,47,0.102,24.5525
14-May,75,47,0.044,24.51375
15-May,77,47,0.079,25.755
16-May,78,50,0.122,23.8315
17-May,78,50,0.065,22.2395
18-May,79,50,0.081,23.77875
19-May,79,51,0.079,23.25925
20-May,79,53,0.082,21.19325
21-May,78,51,0.146,23.416
22-May,79,52,0.123,23.34625
23-May,79,52,0.162,24.163
24-May,78,52,0.089,23.04325
25-May,78,52,0.138,21.44875
26-May,78,52,0.127,21.77525
27-May,78,53,0.132,22.48525
28-May,78,53,0.127,23.48625
29-May,81,54,0.12,22.452
30-May,82,55,0.271,23.6115
31-May,81,55,0.067,22.92475
1-Jun,78,54,0.109,21.961
2-Jun,79,54,0.065,23.8535
3-Jun,80,54,0.113,22.11425
4-Jun,80,56,0.121,23.30075
5-Jun,82,55,0.154,24.70925
6-Jun,82,56,0.073,25.64875
7-Jun,85,57,0.106,25.71825
8-Jun,87,57,0.15,24.19525
9-Jun,84,57,0.114,24.58125
10-Jun,85,58,0.222,25.08925
11-Jun,84,58,0.109,25.6595
12-Jun,86,59,0.044,26.819
13-Jun,87,59,0.114,26.213
14-Jun,88,58,0.067,25.476
15-Jun,87,59,0.092,25.66925
16-Jun,87,59,0.107,27.3325
17-Jun,86,59,0.125,27.242
18-Jun,87,59,0.056,26.33875
19-Jun,87,60,0.11,27.3295
20-Jun,90,60,0.143,27.3795
21-Jun,89,62,0.082,26.17875
22-Jun,89,60,0.19,26.00475
23-Jun,88,60,0.148,26.42075
24-Jun,89,61,0.056,26.04675
25-Jun,90,61,0.13,27.70425
26-Jun,89,61,0.088,27.195
27-Jun,89,62,0.109,27.1935
28-Jun,91,63,0.076,27.091
29-Jun,92,64,0.065,25.69175
30-Jun,93,63,0.028,26.04225
1-Jul,91,64,0.074,26.55625
2-Jul,92,64,0.077,27.574
3-Jul,92,63,0.134,27.08925
4-Jul,93,63,0.125,27.8935
5-Jul,91,63,0.113,26.189
6-Jul,91,63,0.097,27.43525
7-Jul,92,64,0.09,26.366
8-Jul,93,65,0.039,26.15825
9-Jul,92,64,0.083,25.438
10-Jul,92,65,0.058,26.51325
11-Jul,93,64,0.119,26.06525
12-Jul,93,64,0.097,25.143
13-Jul,92,64,0.057,24.96075
14-Jul,92,63,0.149,25.794
15-Jul,93,64,0.04,25.86575
16-Jul,92,64,0.048,25.806
17-Jul,92,65,0.044,24.1905
18-Jul,93,66,0.075,25.415
19-Jul,94,66,0.056,26.782
20-Jul,93,64,0.14,25.605
21-Jul,91,64,0.105,25.08925
22-Jul,92,63,0.081,25.6885
23-Jul,91,64,0.127,24.51925
24-Jul,91,64,0.15,25.5335
25-Jul,92,64,0.041,26.064
26-Jul,92,64,0.127,24.9815
27-Jul,90,64,0.097,25.50625
28-Jul,91,63,0.167,25.75775
29-Jul,91,64,0.071,25.08775
30-Jul,91,64,0.088,25.0725
31-Jul,92,64,0.03,24.1525
1-Aug,91,63,0.122,23.22425
2-Aug,91,64,0.109,23.4485
3-Aug,91,64,0.08,23.83575
4-Aug,90,64,0.12,24.302
5-Aug,89,63,0.052,22.50775
6-Aug,91,63,0.14,23.41925
7-Aug,91,63,0.079,24.53475
8-Aug,91,64,0.04,24.87425
9-Aug,92,63,0.133,23.998
10-Aug,90,63,0.136,23.581
11-Aug,88,62,0.119,22.51975
12-Aug,89,62,0.052,22.7535
13-Aug,89,62,0.118,21.7305
14-Aug,88,62,0.054,21.98675
15-Aug,86,61,0.08,22.872
16-Aug,89,62,0.042,23.055
17-Aug,90,63,0.014,22.7625
18-Aug,90,62,0.036,21.3385
19-Aug,90,62,0.101,22.47575
20-Aug,88,62,0.068,21.139
21-Aug,89,62,0.073,22.45575
22-Aug,90,63,0.056,22.227
23-Aug,89,62,0.04,22.0215
24-Aug,89,61,0.08,21.8255
25-Aug,89,61,0.133,22.346
26-Aug,89,61,0.052,21.8225
27-Aug,90,61,0.078,20.2585
28-Aug,89,60,0.091,20.173
29-Aug,88,60,0.061,21.2555
30-Aug,89,61,0.069,20.56575
31-Aug,88,61,0.086,20.36175
1-Sep,85,60,0.042,20.23175
2-Sep,86,59,0.027,18.9005
3-Sep,87,59,0.058,20.16
4-Sep,87,57,0.041,21.27125
5-Sep,86,58,0.055,21.02475
6-Sep,86,58,0.037,19.09525
7-Sep,88,58,0.086,19.944
8-Sep,86,57,0.038,20.61125
9-Sep,84,56,0.039,20.7495
10-Sep,83,56,0.068,19.27975
11-Sep,84,56,0.089,18.952
12-Sep,84,55,0.078,18.3535
13-Sep,82,54,0.044,17.376
14-Sep,81,54,0.049,16.58525
15-Sep,79,52,0.064,16.33575
16-Sep,79,54,0.101,17.973
17-Sep,80,53,0.011,18.43
18-Sep,81,53,0.077,18.812
19-Sep,81,53,0.084,17.07775
20-Sep,79,51,0.035,16.732
21-Sep,77,49,0.046,17.50175
22-Sep,78,49,0.079,17.827
23-Sep,74,47,0.076,17.292
24-Sep,75,47,0.046,15.902
25-Sep,76,46,0.047,19.04075
26-Sep,78,47,0.011,18.6605
27-Sep,78,46,0.008,17.6265
28-Sep,78,47,0.027,16.452
29-Sep,76,47,0.024,17.339
30-Sep,78,46,0.011,17.08925
1-Oct,77,46,0.051,17.4595
2-Oct,78,45,0.047,16.806
3-Oct,75,45,0.004,16.81975
4-Oct,77,45,0.01,16.85725
5-Oct,75,45,0.104,15.47075
6-Oct,75,44,0.018,16.42275
7-Oct,74,43,0.028,14.861
8-Oct,74,43,0.02,13.81
9-Oct,73,41,0.064,15.57825
10-Oct,71,41,0.031,15.26475
11-Oct,72,43,0.032,15.5315
12-Oct,74,42,0.025,15.07075
13-Oct,73,41,0.028,15.4265
14-Oct,74,40,0.01,15.04375
15-Oct,72,40,0.019,14.11275
16-Oct,70,40,0.038,13.52775
17-Oct,70,39,0.033,14.8125
18-Oct,68,38,0.093,13.9175
19-Oct,67,37,0.03,14.201
20-Oct,67,37,0.019,13.90125
21-Oct,68,37,0.022,13.931
22-Oct,70,38,0.022,13.64375
23-Oct,70,37,0.012,13.46175
24-Oct,67,35,0.026,12.80375
25-Oct,65,35,0.023,12.46975
26-Oct,65,34,0.022,12.3725
27-Oct,67,36,0.042,12.05
28-Oct,66,37,0.014,12.051
29-Oct,65,35,0.036,11.26825
30-Oct,63,34,0.091,10.79925
31-Oct,61,34,0.064,11.0635
1-Nov,61,33,0.083,10.11275
2-Nov,58,32,0.051,11.6015
3-Nov,56,29,0.045,11.90775
4-Nov,57,30,0.011,10.7225
5-Nov,58,29,0.003,11.271
6-Nov,58,30,0.005,11.26175
7-Nov,59,30,0.003,10.83
8-Nov,61,30,0.008,10.31775
9-Nov,59,30,0.013,10.997
10-Nov,58,29,0.023,10.38025
11-Nov,57,29,0.004,10.397
12-Nov,57,28,0.015,9.98775
13-Nov,57,28,0.029,10.29425
14-Nov,57,28,0.013,9.05875
15-Nov,57,28,0.025,9.8045
16-Nov,56,27,0.105,9.493
17-Nov,55,27,0.044,10.6495
18-Nov,55,27,0.027,10.116
19-Nov,55,26,0.042,9.05575
20-Nov,53,24,0.023,9.5175
21-Nov,53,24,0.022,10.2585
22-Nov,54,25,0.001,8.98925
23-Nov,52,24,0.002,9.41875
24-Nov,50,23,0.004,9.70375
25-Nov,53,25,0.023,8.237
26-Nov,54,23,0.005,8.3895
27-Nov,49,21,0.011,8.213
28-Nov,45,19,0.011,8.97125
29-Nov,47,20,0.001,9.28675
30-Nov,48,21,0.012,9.008
1-Dec,49,21,0.006,8.62625
2-Dec,51,22,0.004,8.54375
3-Dec,50,21,0.014,9.24775
4-Dec,49,22,0.017,9.12
5-Dec,52,22,0.004,8.21875
6-Dec,47,20,0.015,7.91975
7-Dec,45,19,0.015,7.36875
8-Dec,46,19,0.002,8.66325
9-Dec,44,18,0.006,8.64375
10-Dec,46,19,0.007,8.63425
11-Dec,46,18,0.021,7.89925
12-Dec,45,18,0.012,8.23775
13-Dec,45,18,0.031,8.1785
14-Dec,46,18,0.018,7.94575
15-Dec,45,17,0.023,8.74175
16-Dec,45,18,0.008,8.0915
17-Dec,45,18,0.009,7.664
18-Dec,45,17,0.009,8.5035
19-Dec,45,17,0.014,7.51375
20-Dec,43,17,0.027,7.586
21-Dec,43,17,0.009,8.31075
22-Dec,43,17,0.014,8.8875
23-Dec,44,16,0.005,7.86575
24-Dec,42,15,0.021,8.1165
25-Dec,42,15,0.006,8.49325
26-Dec,44,17,0.002,7.883
27-Dec,46,18,0.013,8.42325
28-Dec,45,18,0.024,8.0285
29-Dec,45,18,0.017,8.10425
30-Dec,42,16,0.046,7.6505
31-Dec,43,15,0.026,7.6625
