Day,MaxF,MinF,Ppt(in),Rad Eq (MJ/m2)
1-Jan,41,14,0.006,7.928571429
2-Jan,43,15,0.005,8.942857143
3-Jan,43,14,0.003,7.49047619
4-Jan,42,14,0.008,8.042857143
5-Jan,43,14,0.01,8.088095238
6-Jan,43,14,0.014,8.364285714
7-Jan,42,14,0.008,8.604761905
8-Jan,44,14,0.011,8.728571429
9-Jan,44,15,0.02,8.530952381
10-Jan,43,14,0.018,8.5
11-Jan,43,14,0.001,9.028571429
12-Jan,44,14,0.006,9.514285714
13-Jan,44,14,0.012,9.376190476
14-Jan,45,16,0.024,9.452380952
15-Jan,44,15,0.011,8.74047619
16-Jan,43,15,0.019,9.35
17-Jan,42,14,0.013,8.978571429
18-Jan,42,14,0.011,9.026190476
19-Jan,43,15,0.02,9.369047619
20-Jan,43,15,0.025,9.85
21-Jan,44,14,0.015,9.55952381
22-Jan,45,14,0.001,9.835714286
23-Jan,45,14,0.002,9.983333333
24-Jan,45,16,0.017,9.911904762
25-Jan,45,16,0.004,9.85952381
26-Jan,45,15,0.021,9.95
27-Jan,45,15,0.017,9.685714286
28-Jan,46,16,0.009,9.916666667
29-Jan,45,15,0.01,9.847619048
30-Jan,43,15,0.017,10.51904762
31-Jan,44,16,0.005,10.6
1-Feb,45,15,0.008,10.78333333
2-Feb,46,16,0.019,10.05952381
3-Feb,45,16,0.018,11.48809524
4-Feb,46,17,0.014,10.11904762
5-Feb,46,17,0.008,11.49047619
6-Feb,46,17,0.009,10.93095238
7-Feb,46,16,0.015,12.13571429
8-Feb,45,16,0.004,11.6952381
9-Feb,45,15,0.012,11.88571429
10-Feb,48,17,0.014,11.71428571
11-Feb,49,17,0.014,11.92619048
12-Feb,48,18,0.017,11.77380952
13-Feb,48,19,0.021,12.51666667
14-Feb,48,19,0.003,10.48809524
15-Feb,49,19,0.023,11.86190476
16-Feb,49,18,0.012,13.2547619
17-Feb,50,19,0.006,12.29047619
18-Feb,49,20,0.017,12.33571429
19-Feb,49,20,0.013,13.57857143
20-Feb,50,20,0.013,12.46666667
21-Feb,50,20,0.021,13.78571429
22-Feb,51,20,0.015,13.03333333
23-Feb,51,21,0.009,13.08571429
24-Feb,50,21,0.01,14.00714286
25-Feb,51,21,0.013,14.37619048
26-Feb,51,20,0.011,12.72619048
27-Feb,50,20,0.048,13.81190476
28-Feb,50,20,0.036,14.49285714
1-Mar,50,22,0.027,14.08095238
2-Mar,51,22,0.036,14.04047619
3-Mar,49,21,0.045,14.73333333
4-Mar,50,21,0.026,15.37142857
5-Mar,50,22,0.031,15.25952381
6-Mar,52,20,0.017,14.25714286
7-Mar,52,21,0.017,13.63809524
8-Mar,54,22,0.033,14.84047619
9-Mar,55,23,0.017,16.88571429
10-Mar,54,25,0.022,15.45238095
11-Mar,55,25,0.039,16.35952381
12-Mar,55,25,0.032,16.05238095
13-Mar,56,24,0.018,17.24761905
14-Mar,56,25,0.019,16.57142857
15-Mar,54,24,0.052,14.32857143
16-Mar,56,25,0.017,15.14047619
17-Mar,58,25,0.035,16.31190476
18-Mar,57,26,0.028,16.99761905
19-Mar,55,25,0.043,17.06904762
20-Mar,57,26,0.01,17.61666667
21-Mar,58,25,0.038,18.26904762
22-Mar,59,28,0.037,18.54047619
23-Mar,60,28,0.029,16.83571429
24-Mar,60,28,0.045,18.08571429
25-Mar,58,27,0.033,18.64285714
26-Mar,58,27,0.023,18.47857143
27-Mar,61,27,0.022,16.96190476
28-Mar,61,29,0.052,18.57857143
29-Mar,58,29,0.065,16.05714286
30-Mar,59,27,0.028,18.97619048
31-Mar,60,28,0.026,20.22857143
1-Apr,62,30,0.034,19.5047619
2-Apr,64,31,0.044,16.74285714
3-Apr,61,31,0.023,17.81428571
4-Apr,61,31,0.03,19.9
5-Apr,64,31,0.038,19.84761905
6-Apr,65,32,0.042,20.42380952
7-Apr,64,32,0.025,21.4547619
8-Apr,62,32,0.038,18.58809524
9-Apr,64,32,0.036,18.86190476
10-Apr,64,33,0.079,20.79047619
11-Apr,63,33,0.046,21.23809524
12-Apr,64,33,0.038,21.22142857
13-Apr,65,33,0.042,20.69761905
14-Apr,67,34,0.046,22.41428571
15-Apr,68,36,0.04,22.72857143
16-Apr,67,35,0.028,21.17142857
17-Apr,69,35,0.044,20.3452381
18-Apr,69,37,0.036,21.31904762
19-Apr,68,37,0.071,21.63809524
20-Apr,68,36,0.055,21.06666667
21-Apr,69,36,0.028,19.93809524
22-Apr,70,39,0.069,21.11904762
23-Apr,71,39,0.082,22.9547619
24-Apr,69,38,0.057,21.69761905
25-Apr,68,38,0.057,22.42142857
26-Apr,68,38,0.05,22.80952381
27-Apr,67,38,0.065,20.81904762
28-Apr,69,37,0.061,21.18095238
29-Apr,69,39,0.066,21.56190476
30-Apr,69,40,0.059,19.76428571
1-May,69,39,0.132,20.34047619
2-May,71,40,0.072,21.37619048
3-May,70,40,0.07,22.06428571
4-May,72,41,0.046,22.49047619
5-May,73,42,0.062,22.53809524
6-May,72,42,0.124,22.61666667
7-May,72,43,0.071,23.09047619
8-May,73,42,0.042,23.27142857
9-May,73,43,0.039,24.37142857
10-May,73,44,0.032,23.94047619
11-May,74,43,0.055,23.53095238
12-May,74,43,0.032,24.76904762
13-May,74,43,0.045,24.90952381
14-May,75,44,0.075,24.6452381
