Label,Name,Amount,Factor,Units,FactorUnits
__Irrigation
Total Season Pumping Hours,totalhours,1800,,hours,,
Pumping Water Lift,lift,120,,feet,,
Irrigation System Operating Pressure,psi,35,,psi,,
Labor,labor,10,totalhours,Rs.,hour
Repairs and Maintenance,repairs,0.33,,Rs.,ac-in
__General
Nitrogen,n,,acres,lb,acre
Nitrogen Cost,nc,0.39,n,Rs.,lb
Phosphorus,p,,acres,lb,acre
Phosphorus Cost,pc,0.44,p,Rs.,lb
Seed,s,,acres,lb,acre
Seed Cost,sc,4.04,s,Rs.,lb
Herbicide,herbicide,19.51,acres,Rs.,acre
Insecticide,insecticide,18.23,acres,Rs.,acre
__Operation
Tillage Cost,tillage_cost,21.47,acres,Rs.,acre
Planting Cost,planting_cost,12.02,acres,Rs.,acre
Fertilizer Application Cost,fertilizer_application_cost,4.34,acres,Rs.,acre
Insecticide Application Cost,iac,4.43,acres,Rs.,acre
Herbicide Application Cost,hac,4.38,acres,Rs.,acre
Harvest Base Charge,base,24,acres,Rs.,acre
Swathing Operation Cost,swathing,10.34,acres,Rs.,acre
Baling Cost,baling,12.0,acres,Rs.,acre
Number of Cuttings,cutting_num,5,swathing,per season,
__Returns
Misc Returns,returns1,,acres,Rs.,acre
__Costs
Crop Insurance,insurance,,acres,Rs.,acre
Misc Costs,returns2,,acres,Rs.,acre
