Day,MaxF,MinF,Ppt(in),Rad Eq (MJ/m2)
1-Jan,40,15,0.014,8.0275
2-Jan,43,15,0.004,7.6875
3-Jan,42,15,0.013,7.0025
4-Jan,41,16,0.006,7.715
5-Jan,41,15,0.006,7.775
6-Jan,41,16,0.011,7.8175
7-Jan,41,15,0.004,8.1825
8-Jan,43,16,0.02,7.92
9-Jan,43,17,0.008,8.0025
10-Jan,42,16,0.007,7.93
11-Jan,43,17,0.001,7.8625
12-Jan,43,16,0.003,8.785
13-Jan,45,17,0.007,9.2925
14-Jan,44,18,0.023,8.635
15-Jan,44,17,0.005,8.3625
16-Jan,43,16,0.008,9.0075
17-Jan,42,16,0.004,7.8575
18-Jan,40,16,0.017,8.205
19-Jan,42,16,0.03,8.435
20-Jan,42,15,0.014,8.67
21-Jan,43,15,0.006,8.7125
22-Jan,43,16,0.002,8.7825
23-Jan,43,16,0.001,9.6375
24-Jan,44,18,0.012,9.08
25-Jan,43,17,0.003,8.545
26-Jan,44,16,0.026,8.795
27-Jan,45,17,0.009,9.27
28-Jan,46,17,0.013,9.725
29-Jan,43,17,0.016,9.5225
30-Jan,43,16,0.014,10.5
31-Jan,43,17,0.007,9.9375
1-Feb,43,16,0.011,9.57
2-Feb,44,18,0.003,10.3525
3-Feb,44,19,0.036,10.1875
4-Feb,44,19,0.01,10.0325
5-Feb,45,19,0.009,10.1325
6-Feb,46,18,0.001,11.115
7-Feb,45,18,0.005,10.53
8-Feb,44,19,0.01,10.515
9-Feb,45,18,0.007,11.1475
10-Feb,46,18,0.014,11.275
11-Feb,47,19,0.007,11.135
12-Feb,48,20,0.02,11.2625
13-Feb,48,21,0.019,11.8125
14-Feb,47,20,0.006,10.4425
15-Feb,47,20,0.011,11.1425
16-Feb,46,20,0.006,11.625
17-Feb,48,20,0.011,10.39
18-Feb,49,21,0.022,12.5075
19-Feb,48,21,0.017,12.21
20-Feb,48,21,0.027,11.775
21-Feb,49,21,0.017,12.475
22-Feb,49,22,0.01,12.16
23-Feb,50,22,0.022,11.855
24-Feb,49,22,0.02,13.86
25-Feb,49,21,0.004,12.575
26-Feb,49,21,0.008,13.4225
27-Feb,49,22,0.029,12.805
28-Feb,49,21,0.024,13.4825
1-Mar,50,21,0.025,13
2-Mar,49,22,0.022,12.8775
3-Mar,48,21,0.028,12.73
4-Mar,48,21,0.026,12.5475
5-Mar,49,20,0.027,13.7675
6-Mar,51,21,0.024,14.165
7-Mar,49,22,0.03,13.7375
8-Mar,52,23,0.034,14.1625
9-Mar,53,24,0.015,15.15
10-Mar,55,25,0.013,13.615
11-Mar,54,24,0.041,14.98
12-Mar,53,25,0.011,14.515
13-Mar,54,24,0.018,16.3375
14-Mar,54,25,0.022,16.1
15-Mar,52,24,0.043,15.9475
16-Mar,55,25,0.026,14.96
17-Mar,56,26,0.022,14.6575
18-Mar,56,26,0.023,15.4125
19-Mar,55,26,0.048,16.1725
20-Mar,55,26,0.021,16.9725
21-Mar,57,27,0.04,17.62
22-Mar,57,27,0.025,15.9475
23-Mar,57,27,0.023,16.62
24-Mar,58,28,0.025,16.1575
25-Mar,57,27,0.034,17.035
26-Mar,57,27,0.034,17.505
27-Mar,59,28,0.013,17.27
28-Mar,58,28,0.033,15.9425
29-Mar,56,29,0.044,15.76
30-Mar,58,28,0.03,17.635
31-Mar,59,29,0.015,18.3725
1-Apr,60,30,0.047,17.785
2-Apr,62,31,0.055,17.0925
3-Apr,59,30,0.057,16.975
4-Apr,59,30,0.032,17.6875
5-Apr,62,32,0.024,19.2975
6-Apr,63,31,0.019,20.2375
7-Apr,63,32,0.028,18.955
8-Apr,61,32,0.033,18.735
9-Apr,62,32,0.031,18.795
10-Apr,62,32,0.094,19.165
11-Apr,61,32,0.059,19.0375
12-Apr,61,31,0.056,18.6125
13-Apr,64,33,0.05,18.725
14-Apr,66,35,0.044,20.52
15-Apr,67,35,0.073,19.79
16-Apr,65,35,0.047,19.805
17-Apr,66,34,0.018,20.7875
18-Apr,67,36,0.066,19.9125
