Day,MaxF,MinF,Ppt(in),Rad Eq (MJ/m2)
1-Jan,45,16,0.008,9.055172414
2-Jan,46,16,0.012,8.848275862
3-Jan,46,15,0.008,8.672413793
4-Jan,44,15,0.009,8.862068966
5-Jan,45,16,0.008,8.551724138
6-Jan,46,16,0.01,8.955172414
7-Jan,45,16,0.016,9.362068966
8-Jan,48,15,0.008,9.562068966
9-Jan,47,18,0.019,10.17241379
10-Jan,47,16,0.016,8.75862069
11-Jan,47,16,0.008,9.486206897
12-Jan,46,17,0.003,9.775862069
13-Jan,47,15,0.007,10.60689655
14-Jan,49,17,0.015,9.820689655
15-Jan,48,17,0.005,9.451724138
16-Jan,46,17,0.012,9.720689655
17-Jan,45,17,0.009,9.479310345
18-Jan,46,17,0.009,8.493103448
19-Jan,46,18,0.018,8.913793103
20-Jan,48,17,0.02,9.710344828
21-Jan,47,16,0.009,9.234482759
22-Jan,47,16,0.005,9.917241379
23-Jan,47,16,0.005,10.50689655
24-Jan,49,17,0.003,10.24827586
25-Jan,48,18,0.002,9.386206897
26-Jan,47,16,0.018,10.55862069
27-Jan,47,16,0.019,10.5
28-Jan,49,18,0.015,10.97931034
29-Jan,47,16,0.02,10.55172414
30-Jan,47,16,0.015,11.1
31-Jan,47,17,0.01,10.1
1-Feb,47,18,0.015,10.9137931
2-Feb,46,17,0.017,11.22413793
3-Feb,48,18,0.021,12.20344828
4-Feb,47,18,0.028,10.74137931
5-Feb,48,18,0.011,11.21724138
6-Feb,47,18,0.016,11.66206897
7-Feb,48,18,0.007,11.66551724
8-Feb,47,18,0.012,11.64827586
9-Feb,47,17,0.009,12.63448276
10-Feb,48,18,0.022,12.54827586
11-Feb,48,17,0.024,12.28965517
12-Feb,49,19,0.015,13.04137931
13-Feb,49,19,0.016,12.93103448
14-Feb,50,20,0.012,11.18965517
15-Feb,51,21,0.022,12.31724138
16-Feb,50,20,0.013,12.96206897
17-Feb,51,21,0.009,12.81724138
18-Feb,51,21,0.033,12.92758621
19-Feb,52,21,0.015,14.2862069
20-Feb,53,22,0.01,13.24482759
21-Feb,53,22,0.034,14.51034483
22-Feb,53,23,0.007,14.05517241
23-Feb,54,23,0.021,13.81034483
24-Feb,53,23,0.011,15.35517241
25-Feb,54,23,0.05,14.76551724
26-Feb,53,23,0.006,14.75862069
27-Feb,53,23,0.03,14.43103448
28-Feb,54,24,0.017,14.93103448
1-Mar,54,23,0.026,13.91034483
2-Mar,55,24,0.023,14.22068966
3-Mar,55,24,0.028,13.46551724
4-Mar,54,23,0.017,14.03103448
5-Mar,54,24,0.018,15.26206897
6-Mar,55,23,0.008,16.43103448
7-Mar,56,24,0.007,16.36896552
8-Mar,58,24,0.026,15.3862069
9-Mar,60,26,0.021,16.19655172
10-Mar,59,27,0.013,16.3137931
11-Mar,58,27,0.033,16.54827586
12-Mar,58,27,0.016,15.34137931
13-Mar,60,27,0.011,16.4137931
14-Mar,60,27,0.013,17.46206897
15-Mar,57,27,0.03,17.17241379
16-Mar,59,27,0.032,16.7
17-Mar,60,28,0.019,15.89655172
18-Mar,60,29,0.017,17.1137931
19-Mar,61,28,0.034,18.44827586
20-Mar,61,28,0.03,17.56896552
21-Mar,61,28,0.018,19.05862069
22-Mar,64,30,0.013,18.74482759
23-Mar,63,31,0.044,17.15172414
